name,start,length,color
A,0,70,blue
B,2612,173,blue
C,2785,69,blue
C,3461,69,blue
A,6898,70,blue
D,9646,230,blue
A,26282,70,blue
A,26360,70,blue
A,26438,70,blue
A,33204,70,blue
